total_mortes,Parameter,Std. Err.,T-stat,P-value,Lower CI,Upper CI
const,8.4889,0.2860,29.686,0.0000,7.9284,9.0494
aux_emp_transporte_coletivo_vlr_investimento,1.43e-07,1.069e-08,13.380,0.0000,1.22e-07,1.639e-07
aux_emp_passeio_vlr_investimento,4.062e-07,1.129e-07,3.5981,0.0003,1.849e-07,6.274e-07
aux_emp_calcadas_vlr_investimento,7.694e-08,2.125e-08,3.6200,0.0003,3.528e-08,1.186e-07
aux_emp_asfalto_vlr_investimento,2.248e-07,1.593e-07,1.4112,0.1582,-8.741e-08,5.369e-07
aux_emp_corredor_vlr_investimento,3.049e-08,9.748e-09,3.1278,0.0018,1.138e-08,4.96e-08
aux_emp_parque_vlr_investimento,8.859e-07,7.073e-07,1.2524,0.2104,-5.006e-07,2.272e-06
aux_emp_aero_vlr_investimento,2.139e-07,9.273e-09,23.070,0.0000,1.957e-07,2.321e-07
aux_emp_acessibilidade_vlr_investimento,3.593e-07,1.607e-07,2.2358,0.0254,4.43e-08,6.742e-07
aux_emp_vlt_vlr_investimento,-6.626e-09,1.109e-08,-0.5977,0.5501,-2.835e-08,1.51e-08
aux_emp_pavimentacao_vlr_investimento,4.85e-07,2.42e-08,20.038,0.0000,4.376e-07,5.324e-07
aux_emp_terminal_vlr_investimento,6.462e-07,3.576e-08,18.073,0.0000,5.761e-07,7.163e-07
aux_emp_calcamento_vlr_investimento,3.084e-08,6.533e-07,0.0472,0.9623,-1.25e-06,1.311e-06
aux_emp_ferrovia_vlr_investimento,1.643e-07,4.267e-09,38.502,0.0000,1.559e-07,1.727e-07
aux_emp_sarjeta_vlr_investimento,1.713e-06,4.06e-07,4.2201,0.0000,9.175e-07,2.509e-06
aux_emp_revitalizacao_vlr_investimento,3.099e-07,2.07e-07,1.4971,0.1344,-9.583e-08,7.156e-07
aux_emp_metro_vlr_investimento,-9.04e-09,2.034e-09,-4.4447,0.0000,-1.303e-08,-5.053e-09
aux_emp_ponte_vlr_investimento,3.498e-07,6.461e-08,5.4146,0.0000,2.232e-07,4.765e-07
aux_emp_sinalizacao_vlr_investimento,3.018e-08,1.135e-07,0.2660,0.7902,-1.922e-07,2.526e-07
vlr_investimento_per_capita,-0.0167,0.0018,-9.0988,0.0000,-0.0203,-0.0131
aux_emp_recapeamento_vlr_investimento,1.129e-08,8.718e-08,0.1295,0.8970,-1.596e-07,1.822e-07
aux_emp_ciclovia_vlr_investimento,-5.582e-07,8.254e-08,-6.7627,0.0000,-7.2e-07,-3.964e-07
aux_emp_rapido_vlr_investimento,9.912e-08,1.013e-08,9.7827,0.0000,7.926e-08,1.19e-07
aux_emp_refrota_vlr_investimento,-3.284e-06,1.482e-07,-22.160,0.0000,-3.574e-06,-2.993e-06
aux_emp_praca_vlr_investimento,1.914e-07,1.501e-07,1.2752,0.2023,-1.028e-07,4.856e-07
aux_emp_drenagem_vlr_investimento,-2.329e-07,4.568e-08,-5.0991,0.0000,-3.225e-07,-1.434e-07
