Código IBGE,mun_MUNNOME,mun_MUNNOMEX,mun_AMAZONIA,mun_FRONTEIRA,mun_CAPITAL,uf_CODIGO_UF,mun_LATITUDE,mun_LONGITUDE,mun_ALTITUDE,mun_AREA,mun_codigo_adotado,uf_SIGLA_UF,uf_NOME_UF
1100015,Alta Floresta D'Oeste,ALTA FLORESTA D'OESTE,S,S,N,11,-11.929,-61.996,350,7066702,110001,RO,RONDONIA
1100023,Ariquemes,ARIQUEMES,S,N,N,11,-9.913,-63.041,142,4426558,110002,RO,RONDONIA
1100031,Cabixi,CABIXI,S,S,N,11,-13.492,-60.545,230,1314355,110003,RO,RONDONIA
1100049,Cacoal,CACOAL,S,N,N,11,-11.438,-61.448,200,3792638,110004,RO,RONDONIA
1100056,Cerejeiras,CEREJEIRAS,S,S,N,11,-13.189,-60.812,277,2783305,110005,RO,RONDONIA
1100064,Colorado do Oeste,COLORADO DO OESTE,S,S,N,11,-13.117,-60.542,460,1451058,110006,RO,RONDONIA
1100072,Corumbiara,CORUMBIARA,S,S,N,11,-12.962,-60.887,340,3060318,110007,RO,RONDONIA
1100080,Costa Marques,COSTA MARQUES,S,S,N,11,-12.445,-64.227,140,12722168,110008,RO,RONDONIA
1100098,Espigão D'Oeste,ESPIGAO D'OESTE,S,N,N,11,-11.525,-61.013,270,4518055,110009,RO,RONDONIA
1100106,Guajará-Mirim,GUAJARA-MIRIM,S,S,N,11,-10.783,-65.339,128,24855652,110010,RO,RONDONIA
1100114,Jaru,JARU,S,N,N,11,-10.439,-62.466,124,2944025,110011,RO,RONDONIA
1100122,Ji-Paraná,JI-PARANA,S,N,N,11,-10.882,-61.944,170,6896782,110012,RO,RONDONIA
1100130,Machadinho D'Oeste,MACHADINHO D'OESTE,S,N,N,11,-9.444,-61.981,102,8509274,110013,RO,RONDONIA
1100148,Nova Brasilândia D'Oeste,NOVA BRASILANDIA D'OESTE,S,S,N,11,-11.725,-62.331,320,1155353,110014,RO,RONDONIA
1100155,Ouro Preto do Oeste,OURO PRETO DO OESTE,S,N,N,11,-10.716,-62.248,280,1970151,110015,RO,RONDONIA
1100189,Pimenta Bueno,PIMENTA BUENO,S,S,N,11,-11.673,-61.193,195,6241072,110018,RO,RONDONIA
1100205,Porto Velho,PORTO VELHO,S,S,S,11,-8.762,-63.904,85,34082366,110020,RO,RONDONIA
1100254,Presidente Médici,PRESIDENTE MEDICI,S,N,N,11,-11.176,-61.901,185,1758461,110025,RO,RONDONIA
1100262,Rio Crespo,RIO CRESPO,S,N,N,11,-9.705,-62.9,0,1717648,110026,RO,RONDONIA
1100288,Rolim de Moura,ROLIM DE MOURA,S,S,N,11,-11.733,-61.778,290,1457885,110028,RO,RONDONIA
1100296,Santa Luzia D'Oeste,SANTA LUZIA D'OESTE,S,S,N,11,-11.902,-61.779,260,1197781,110029,RO,RONDONIA
1100304,Vilhena,VILHENA,S,S,N,11,-12.741,-60.146,600,11518929,110030,RO,RONDONIA
1100320,São Miguel do Guaporé,SAO MIGUEL DO GUAPORE,S,S,N,11,-11.681,-62.684,205,8007866,110032,RO,RONDONIA
1100338,Nova Mamoré,NOVA MAMORE,S,S,N,11,-10.411,-65.331,134,10071702,110033,RO,RONDONIA
1100346,Alvorada D'Oeste,ALVORADA D'OESTE,S,S,N,11,-11.408,-62.389,224,3029190,110034,RO,RONDONIA
1100379,Alto Alegre dos Parecis,ALTO ALEGRE DOS PARECIS,S,S,N,11,-12.128,-61.851,405,3958586,110037,RO,RONDONIA
1100403,Alto Paraíso,ALTO PARAISO,S,N,N,11,-9.713,-63.321,0,2651818,110040,RO,RONDONIA
1100452,Buritis,BURITIS,S,S,N,11,-10.212,-63.829,200,3265739,110045,RO,RONDONIA
1100502,Novo Horizonte do Oeste,NOVO HORIZONTE DO OESTE,S,S,N,11,-11.71,-62.0,0,843446,110050,RO,RONDONIA
1100601,Cacaulândia,CACAULANDIA,S,N,N,11,-10.34,-62.896,205,1961745,110060,RO,RONDONIA
