,palavras,palavras_corrigidas
0,implantacao,implantado
0,rapido,rápido
0,onibus,ónibus
0,v,a
0,caxanga,capanga
0,camaragibe,camaragibe
1,construcao,construção
1,cosme,come
1,damiao,amigo
2,implantao,implantar
2,igarassujoana,igarassujoana
2,bezerracentro,bezerracentro
3,pavimentacao,pavimentada
3,qualificacao,qualificado
3,insercao,inserido
3,dedrenagem,drenagem
3,sarj,sara
5,asfaltica,asfalta
6,sao,ao
6,jose,dose
6,lot,lote
6,benjamin,benjamim
6,pzodesembolso,pzodesembolso
6,jan,jaz
6,pzoultimo,pzoultimo
7,monitoramentoconjunto,monitoramentoconjunto
7,inter,ter
7,vencoes,vences
7,trafego,tráfego
7,area,arma
8,implantaco,implantado
8,troncocruzeiro,troncocruzeiro
9,caciqueavenida,caciqueavenida
9,av,a
9,edvaldo,esvaído
9,paiva,raiva
10,pav,pai
10,i,a
10,concluidapzo,concluidapzo
10,des,de
10,pzo,pão
10,ult,um
10,desemb,devem
10,pa,a
11,ii,ir
13,implant,implante
13,excl,ex
13,p,a
13,circulacao,circulação
13,transp,transe
13,fernando,ferrando
13,correa,correr
13,escolastico,escolástico
14,duplic,duplica
14,rod,roda
14,mario,marido
14,andreazza,andreazza
14,atrat,atrai
14,turisticos,turísticos
14,estrut,estou
14,sist,siso
14,viario,vario
14,lig,liga
14,municipios,municípios
14,gde,de
14,cba,aba
15,protransporte,protransporte
15,jd,já
15,europa,euros
16,dullius,dullius
17,brt,bit
17,goncalves,conclaves
17,antonio,actínio
18,cea,cena
18,paulino,caulino
19,ouroligacao,ouroligacao
19,congonhas,cegonhas
19,metroferroviaria,metroferroviaria
20,perimetralobras,perimetralobras
20,arteviaduto,arteviaduto
20,plinio,plano
20,brasil,barril
20,milano,plano
21,mirabeaubaltarsao,mirabeaubaltarsao
21,cohab,coma
21,carlos,carros
21,vasquez,casque
21,granders,grandes
22,familia,família
22,francisco,franciscano
23,pavimentacaodrenagemrede,pavimentacaodrenagemrede
23,bairrospedra,bairrospedra
23,brancaipirangastaluziabonitostaflora,brancaipirangastaluziabonitostaflora
23,irmaos,irmãos
23,dalva,dava
24,joao,jogo
24,municipio,município
24,doisirmaosrs,doisirmaosrs
26,consolidacao,consolidação
26,rapidocom,rapidocom
26,edrenagem,drenagem
26,urbanaarea,urbanaarea
26,intervencaovila,intervencaovila
26,maria,faria
26,humaita,humana
27,andradas,andadas
27,cristiano,cristalino
29,pac,pai
29,iii,foi
29,buritisro,buritisro
30,malvinas,malditas
31,magisterio,magistério
32,recap,recai
32,asfaltico,asfáltico
32,sinalviaria,sinalizaria
32,btijuc,btijuc
32,sjtadeu,sjtadeu
32,matao,matar
32,smarcos,marcos
32,spedro,apedro
34,fatima,fatia
35,bgravata,gravata
36,protransporteacoes,protransporteacoes
36,viascinclusao,viascinclusao
36,mobilidd,mobilidade
36,urbanaacessibilidd,urbanaacessibilidd
36,salubr,salubre
37,ritasao,ritasao
39,urbanizacao,urbanização
39,parce,parece
39,bjdimperial,bjdimperial
39,esgotoagua,esgotoagua
39,superf,super
39,guiassarjetas,guiassarjetas
40,pavim,pavio
40,sinalizacao,sinalização
40,abr,ar
41,adequacao,adequado
41,atraves,através
42,pavmtcao,pavmtcao
42,viasampliac,viasampliac
42,dren,dres
42,pluvexec,pluvexec
42,calcsinal,calcina
42,horvertsemaf,horvertsemaf
42,naleixo,paleio
44,rosario,rosário
45,sebastiao,sebastiao
46,caji,cai
46,dagua,agua
47,jambeiro,lambeiro
47,jaiba,saiba
48,asfalticas,asfaltadas
48,dumont,durona
49,execucao,executar
51,chacara,chamara
51,palnalto,planalto
51,pedro,pedra
51,pampas,papas
51,lucia,lucra
52,flamboyant,flamboyant
53,jk,já
53,tancredo,tancredo
54,velhoconceicao,velhoconceicao
54,eletronort,eletronort
55,voluntarios,voluntários
55,patria,patroa
56,uquehy,uquehy
56,sahy,sabe
56,boicucanga,boicucanga
57,jaragua,argua
58,jga,joga
58,asfalt,asfalto
58,calcadasciclovia,calcadasciclovia
58,pzodes,podes
58,pzoult,pzoult
59,mafra,magra
59,iveteprazo,iveteprazo
59,realiz,realiza
60,baln,bala
60,picarras,picaras
60,pavruas,paras
60,b,a
60,n,a
60,pazpzo,papo
61,garuva,garupa
61,giorgia,orgia
61,paula,aula
61,pacpzo,pacto
62,protransportepavimentacao,protransportepavimentacao
62,itaiopolis,itaiopolis
62,bbom,bom
62,fev,fez
62,ultdesembolso,ultdesembolso
62,jul,sul
63,pavimentdrenagemesgoto,pavimentdrenagemesgoto
63,massarandubapzo,massarandubapzo
63,nov,no
64,biguacu,biguacu
64,pavimdrenagemsinalizpasseiopzo,pavimdrenagemsinalizpasseiopzo
65,ceu,eu
67,publicoqualificacao,publicoqualificacao
67,paracatu,paracatu
67,mg,me
68,conjhab,concha
68,alvaro,alvará
68,abreu,abre
69,conj,cone
69,hab,a
69,catuai,atuai
71,cohapar,chapar
72,pavimnetacao,pavimnetacao
72,taruma,trauma
73,campodourado,campodourado
73,iguatemi,igualei
74,rincao,cinco
76,anibal,animal
77,protasio,protesto
77,alves,alvos
77,estacoes,estamos
78,assis,assim
79,viaria,viria
80,inters,antes
80,avant,avante
80,avabrao,avara
80,caram,cara
80,avpedro,apedro
80,avvilarinho,avvilarinho
80,acarlospedro,acarlospedro
81,ampliacao,ampliação
82,integracao,integração
82,integracaocuritiba,integracaocuritiba
83,vlt,volt
83,aeroportoterminal,aeroportoterminal
84,df,de
85,alberto,aberto
86,requalificacao,requalificada
86,rodoviaria,rodoviária
88,funcionarios,funcionários
90,regiao,região
91,martadonaria,martadonaria
92,pilau,pila
93,eliza,elida
94,simm,sim
94,monitoramento,monitoramento
95,floriano,florins
95,aero,zero
97,adequacoes,adequados
97,viarias,virias
97,estacao,estaca
97,transferencia,transferência
97,tv,te
97,cameras,cambras
98,aeroportorodoferroviaria,aeroportorodoferroviaria
98,obrasde,obrasse
98,interli,interna
98,gacao,acho
98,sjp,se
98,rodoferroviaria,rodoferroviaria
98,ctba,cuba
100,extensao,extensão
101,recape,recase
101,mossororn,mossororn
102,icara,cara
102,bliri,beira
102,nsfatima,esfaima
102,outrospzo,outrospzo
103,pavimetacao,pavimetacao
103,tsd,se
103,selante,secante
103,hidrologico,hidrológico
104,pavimendrenagempasseios,pavimendrenagempasseios
104,ambuita,muita
104,miraflores,miraflores
104,olimpia,limpa
105,paviment,pavimento
105,passeiossinal,passeiossinal
105,pq,pé
105,itapevi,tapei
105,paulista,sulista
107,deacesso,acesso
107,coopagro,comparo
108,poliedrica,poliédrico
108,itaipu,taipa
108,eindependencia,independência
109,italiamorada,italiamorada
109,oswaldo,saldo
109,interlagos,intervalos
110,guapore,evapore
110,gervasiogervasio,gervasiogervasio
110,pereirabento,pereirabento
110,goncalvesjd,goncalvesjd
110,vicente,vidente
112,sa,a
112,vianapindoramacoroadinhovila,vianapindoramacoroadinhovila
112,embratel,embateu
112,paraiso,paraíso
113,drenagempavim,drenagempavim
113,belvedere,belvedere
113,candelaria,cancelaria
113,nholanda,nholanda
113,sta,sua
113,peeustaquio,peeustaquio
113,grajau,graças
114,xandrita,mandria
115,tres,três
115,coracoesmg,coracoesmg
116,s,a
116,miguel,migue
116,staritapzo,staritapzo
117,protransportepavimentesgoto,protransportepavimentesgoto
117,nsaparecida,desaparecida
118,set,se
119,protransp,protrais
119,irineopolisjdbrand,irineopolisjdbrand
119,arrinver,arrinver
119,concluidae,concluída
119,ultdesemb,ultdesemb
120,abelardo,abalado
121,centenario,centenário
121,jaco,saco
121,ral,tal
121,sapirangars,sapirangars
122,luiz,luz
123,ildemar,liderar
123,silveira,solteira
124,alfaltica,alfabética
125,protransportepavimentacaoguias,protransportepavimentacaoguias
125,itanhaem,itanhaem
126,urbanasconstrucao,urbanasconstrucao
126,sin,si
128,vilage,viagem
128,saude,saúde
129,implgalerias,implgalerias
129,pluviaisguiassarjetas,pluviaisguiassarjetas
129,acessibilidadepavimentacaocalcadas,acessibilidadepavimentacaocalcadas
131,implde,impede
131,pluviaisguiassarjetasacessibili,pluviaisguiassarjetasacessibili
131,dadepavimentacaocalcadas,dadepavimentacaocalcadas
132,pluviaisguiassarjetasacessibilidade,pluviaisguiassarjetasacessibilidade
133,poliedricos,poliedros
134,bambe,lambe
134,geraldo,gerado
135,claudinapinheirinhos,claudinapinheirinhos
135,saojose,saojose
135,recflorido,reflorido
135,buracao,buraco
137,esperanca,esperança
138,varios,vários
138,goiania,gozaria
139,diadema,dilema
141,daniel,anel
141,luisinho,ursinho
141,nichelle,nichelle
142,verdecachoeiras,verdecachoeiras
142,caracara,caracará
143,jaibamg,saibam
144,goulart,goelar
144,jabaete,abate
145,rotatoria,rotatória
145,colonia,colónia
145,luiza,luza
146,jacaranda,jacaranda
147,baylly,baylly
147,thermas,termas
147,riviera,reviera
148,caixadagua,caixadagua
148,pirog,pirou
148,res,rei
148,leao,levo
150,palmeirinha,caldeirinha
150,mansani,mansas
151,elisios,elogios
151,souzan,souzan
152,pavimentaco,pavimentado
152,sarah,sarar
152,iino,sino
152,ceresgo,cresço
155,palhoca,palhota
155,novopzo,novopzo
155,jun,jus
156,complementacao,complementada
157,btrevobrogota,btrevobrogota
157,aguadrenagem,aguadrenagem
158,hamilton,hamilton
158,ribeirocentro,ribeirocentro
159,farroupilhars,farroupilhars
160,bairo,baixo
160,matiel,matei
160,felizrs,felizes
161,palmarrs,palmaras
165,ipitanga,pitanga
166,morumbi,morumbi
166,park,para
167,recapeamento,capeamento
167,acaciasbelvedere,acaciasbelvedere
167,eldora,ledora
168,mutirao,mutilado
170,lazaro,azaro
170,osvaldo,saldo
170,araujo,arauto
171,ribeirao,ribeiro
171,ciclofaixa,ciclofaixa
172,canelars,canelas
173,candido,bandido
173,exclusivade,exclusiva
174,verao,verão
174,jorge,jorre
175,municipiode,municipiode
175,contagemmg,contagem
176,ve,de
176,cp,cá
176,rerratificados,rerratificados
176,mcidades,cidades
178,acopiara,acoplara
178,acpiara,acabara
178,ce,de
179,suzana,semana
180,viaspasseios,viaspasseios
180,gabriel,abril
181,getulio,retalio
181,vargas,cargas
181,montenegrors,montenegrors
182,selma,selva
182,walauer,malquer
182,ernesto,resto
182,zietlow,zietlow
183,perimetral,perimetral
184,interligacao,interligadas
184,aruana,ariana
185,veiculos,veículos
185,aeroportoacesso,aeroportoacesso
186,salin,salina
186,cafure,cofre
188,loc,lo
188,zabele,tabele
188,bateias,baterias
189,america,amarica
190,servicos,serviços
191,araguaina,paraguaia
192,maracana,caravana
194,exc,ex
194,circ,circo
194,cpa,capa
196,santana,pantana
196,monica,modica
198,coloninha,colonista
199,josefa,cosera
199,helio,hélio
199,lopes,lotes
199,andre,ande
199,simone,timone
201,c,a
203,x,a
204,dede,deve
205,natalrn,natal
206,boulevard,boulevard
206,arrudas,arrumas
206,teresa,teres
206,cristina,criativa
207,pr,por
208,cicero,sincero
208,juscelino,juscelino
208,kubistcheck,kubistcheck
209,ligacao,ligação
209,minerioteresa,minerioteresa
210,falcao,falcão
210,tunel,túnel
210,manoel,manter
210,pina,pena
210,viarios,viários
211,valparaiso,malparais
212,candida,cindida
213,ferri,ferro
215,parangaba,parangaba
215,mucuripe,mucuripe
216,ji,já
216,paranaro,parando
217,sobral,sobra
218,leopoldina,leopoldina
218,xangrila,sangria
220,venancio,renuncio
220,airesrs,airosas
221,heldt,herda
221,coonovesp,coonovesp
222,moreira,amoreira
222,morsp,morsa
223,caucaia,causada
224,cpaaeroporto,cpaaeroporto
224,coxipocentro,coxipocentro
225,raul,qual
225,barbosa,babosa
226,reestruturacao,reestruturação
226,roberto,coberto
226,intervencao,intervenção
226,codigo,comigo
226,rna,na
227,goncalo,gondolo
227,amarante,amaraste
227,responsa,responda
228,correpondendo,correspondendo
229,paulo,pulo
229,bonitaa,bonita
230,pavasfaltica,pavasfaltica
230,paseios,passeios
231,pacpavimentacaoexec,pacpavimentacaoexec
231,sanitario,sanitário
232,barroso,barroco
232,montenegro,montenegrino
232,belem,bebem
232,icoaraci,icoaraci
233,passageirosgamasanta,passageirosgamasanta
234,epig,eis
234,espm,está
234,eptg,está
234,sandu,sande
234,prates,partes
234,vc,vi
235,timbirasam,timbraram
235,torrescorredor,torrescorredor
235,onibustrecho,onibustrecho
236,moblidade,mobilidade
236,lesteoeste,lesteoeste
237,recuperacao,recuperação
238,sepetiba,repetida
240,recuperacaode,recuperacaode
240,guaratiba,guaratiba
241,impl,mal
241,embdes,lembres
242,pacmobilidadeetconstrucao,pacmobilidadeetconstrucao
242,jpaulo,jaula
242,imlobatoavsdumontviaduto,imlobatoavsdumontviaduto
242,avsdumont,avsdumont
242,avmlobato,avmlobato
244,transppublico,transppublico
244,avmarginaisa,avmarginaisa
244,rodmanoel,rodmanoel
244,nobrega,nobreza
