Código IBGE,vlr_investimento,Populacao,pop_beneficiada,num_total_empreendimentos,aux_emp_metro,aux_emp_metro_vlr_investimento,aux_emp_pavimentacao,aux_emp_pavimentacao_vlr_investimento,aux_emp_refrota,aux_emp_refrota_vlr_investimento,aux_emp_sinalizacao,aux_emp_sinalizacao_vlr_investimento,aux_emp_calcamento,aux_emp_calcamento_vlr_investimento,aux_emp_ciclovia,aux_emp_ciclovia_vlr_investimento,aux_emp_corredor,aux_emp_corredor_vlr_investimento,aux_emp_drenagem,aux_emp_drenagem_vlr_investimento,aux_emp_ferrovia,aux_emp_ferrovia_vlr_investimento,aux_emp_rapido,aux_emp_rapido_vlr_investimento,aux_emp_vlt,aux_emp_vlt_vlr_investimento,aux_emp_recapeamento,aux_emp_recapeamento_vlr_investimento,aux_emp_viaria,aux_emp_viaria_vlr_investimento,aux_emp_aero,aux_emp_aero_vlr_investimento,aux_emp_revitalizacao,aux_emp_revitalizacao_vlr_investimento,aux_emp_sarjeta,aux_emp_sarjeta_vlr_investimento,aux_emp_calcadas,aux_emp_calcadas_vlr_investimento,aux_emp_praca,aux_emp_praca_vlr_investimento,aux_emp_passeio,aux_emp_passeio_vlr_investimento,aux_emp_terminal,aux_emp_terminal_vlr_investimento,aux_emp_asfalto,aux_emp_asfalto_vlr_investimento,aux_emp_ponte,aux_emp_ponte_vlr_investimento,aux_emp_acessibilidade,aux_emp_acessibilidade_vlr_investimento,aux_emp_parque,aux_emp_parque_vlr_investimento,aux_emp_transporte_coletivo,aux_emp_transporte_coletivo_vlr_investimento,programa_AVANÇAR PÚBLICO,programa_AVANÇAR PÚBLICO_vlr_investimento,programa_EMENDAS,programa_EMENDAS_vlr_investimento,programa_PAC FIN,programa_PAC FIN_vlr_investimento,programa_PAC OGU,programa_PAC OGU_vlr_investimento,programa_PRÓ COMUNIDADE,programa_PRÓ COMUNIDADE_vlr_investimento,programa_SETOR PRIVADO,programa_SETOR PRIVADO_vlr_investimento,vlr_investimento_per_capita,pop_beneficiada_per_capita,mun_AREA,densidade_populacional,ano,Pedestre_mortes,Ciclista_mortes,Motociclista_mortes,Ocup_triciclo_motor_mortes,Ocup_automovel_mortes,Ocup_caminhonete_mortes,Ocup_veic_transp_pesado_mortes,Ocup_onibus_mortes,Outros_mortes,Populacao_acidentes,total_mortes,taxa_mun_mortes,taxa_mun_pedestre_mortes,taxa_mun_ciclista_mortes,taxa_mun_motociclista_mortes,taxa_mun_automovel_mortes,taxa_mun_veiculo_pesado_mortes,taxa_mun_onibus_mortes,taxa_mun_outros_mortes,Pedestre_feridos,Ciclista_feridos,Motociclista_feridos,Ocup_triciclo_motor_feridos,Ocup_automovel_feridos,Ocup_caminhonete_feridos,Ocup_veic_transp_pesado_feridos,Ocup_onibus_feridos,Outros_feridos,total_feridos,taxa_mun_feridos,taxa_mun_pedestre_feridos,taxa_mun_ciclista_feridos,taxa_mun_motociclista_feridos,taxa_mun_automovel_feridos,taxa_mun_veiculo_pesado_feridos,taxa_mun_onibus_feridos,taxa_mun_outros_feridos,Populacao_populacao,taxa_mun_triciclo_mortes,taxa_mun_caminhonete_mortes,taxa_mun_triciclo_feridos,taxa_mun_caminhonete_feridos
1100015.0,2530000.0,23657.333333333332,3034.0,3,0,0.0,2,1530000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,2530000.0,0,0.0,0,0.0,0,0.0,0,0.0,106.9435833849969,0.12824775967987376,7066702,0.003347719110461051,2014.5,0.4,0.1,3.1,0.0,0.0,0.0,0.0,0.1,1.2,24670.2,4.9,0.01985976149305627,0.00162409474042764,0.00039096098209398,0.012684764156647802,0.0,0.0,0.00038983315141119,0.004770108462475621,0.0,0.3,3.7,0.0,0.1,0.0,0.0,0.0,0.2,4.3,0.01727480587561416,0.0,0.00117619383674429,0.014921354693919208,0.00039206461224809003,0.0,0.0,0.0007851927327025401,24670.2,0.0,0.0,0.0,0.0
1100023.0,51728180.309999995,80144.2,60220.0,15,0,0.0,10,45917178.98,0,0.0,0,0.0,0,0.0,1,1251042.3,0,0.0,6,7144333.85,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,914793.15,0,0.0,0,0.0,0,0.0,6,3092469.9699999997,0,0.0,2,4508794.73,0,0.0,0,0.0,0,0.0,14,14886075.05,1,36842105.26,0,0.0,0,0.0,0,0.0,645.4388503472491,0.7513956094140313,4426558,0.018105308910444637,2014.5,2.9,0.6,7.6,0.0,2.3,0.1,0.7,0.2,21.2,101047.2,35.6,0.03575899448233953,0.00279432835842819,0.00057808304022979,0.00734420402932561,0.0021864099016025104,0.0006811270788264,0.00020338720847256,0.021875670342317542,0.7,3.1,73.6,0.0,2.0,0.2,0.0,0.8,5.2,85.6,0.08719939726796548,0.00069782309067405,0.00310645464020181,0.07544434271322717,0.0020349715354072003,0.0,0.00076136291823342,0.00495060778290378,101047.2,0.0,9.578452313675e-05,0.0,0.00020383458731785
1100031.0,349780.51,7242.0,410.0,2,0,0.0,2,349780.51,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,265850.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,83930.51,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,349780.51,0,0.0,0,0.0,0,0.0,0,0.0,48.29888290527479,0.05661419497376415,1314355,0.005509926922330725,2014.5,0.1,0.2,0.7,0.0,0.0,0.0,0.0,0.0,0.0,6120.3,1.0,0.01671489222664321,0.00163078930202217,0.003163642036555769,0.01192046088806526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6120.3,0.0,0.0,0.0,0.0
1100049.0,80678582.66,75710.84210526316,88575.0,19,1,2294597.31,14,66053574.28,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,22783889.01,0,0.0,0,0.0,0,0.0,1,530600.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,11031705.32,0,0.0,0,0.0,0,0.0,1,1020000.0,0,0.0,17,34795533.27,2,45883049.39,0,0.0,0,0.0,0,0.0,1065.6146519653028,1.1699117000554742,3792638,0.019962580690607214,2014.5,7.2,3.3,33.7,0.0,7.4,0.5,0.5,0.0,2.5,84306.4,55.1,0.06474992917366892,0.00847800127747241,0.0038686435686528403,0.03954844051473823,0.00866599343663461,0.00059146955882833,0.0,0.0030074482181538503,16.3,8.7,171.9,0.1,4.3,0.1,0.1,0.2,1.7,203.4,0.23533202543400855,0.019421157849078687,0.01013937714698573,0.1982567108825084,0.00494231306176195,0.00011553214104163001,0.00022844013462147003,0.00200086408840237,84306.3,0.0,0.00058993259918843,0.00011464471602503001,0.00011298541358310001
1100056.0,9547742.48,17049.666666666668,10741.0,9,0,0.0,7,8965753.52,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,3787707.21,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,1380880.77,0,0.0,0,0.0,0,0.0,0,0.0,1,513626.74,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,9547742.48,0,0.0,0,0.0,0,0.0,0,0.0,559.9958442980312,0.6299829908698117,2783305,0.00612569109984952,2014.5,0.8,0.2,2.1,0.0,1.3,0.2,0.0,0.0,0.3,17352.0,4.9,0.028188083090846174,0.004631819829659429,0.0011493893673505898,0.01205994414588361,0.0074574557571684295,0.0,0.0,0.0017225485097304197,0.0,0.5,0.2,0.1,0.2,0.1,0.2,0.2,0.8,2.3,0.013283847775461061,0.0,0.00293340608447661,0.0011446466210988698,0.00110858599855883,0.00118680275338238,0.00111030922111808,0.00461634209831557,17352.0,0.0,0.0011669254810535898,0.00059340137669119,0.0005903536218194599
1100064.0,1901892.18,19056.6,2283.0,5,0,0.0,4,1541299.07,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,210000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,1901892.18,0,0.0,0,0.0,0,0.0,0,0.0,99.80228267371935,0.11980101382198294,1451058,0.013132900270009882,2014.5,0.5,0.6,1.8,0.0,0.6,0.1,0.0,0.0,0.3,18124.5,3.9,0.02142481021578846,0.00279459754655298,0.0033088154338272203,0.00998642315063788,0.0031750135876372197,0.0,0.0,0.00162852615584599,0.0,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.2,1.0,0.005450226670715009,0.0,0.00053789468022161,0.0037646407933487405,0.0,0.0,0.0,0.00114769119714465,18124.5,0.0,0.00053143434128713,0.0,0.0
1100072.0,1728908.25,9782.8,2017.0,5,0,0.0,4,1528908.25,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,316180.34,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,794453.8600000001,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,1728908.25,0,0.0,0,0.0,0,0.0,0,0.0,176.72938729198185,0.2061781902931676,3060318,0.0031966612619995696,2014.5,0.3,0.0,0.4,0.0,0.0,0.2,0.1,0.0,0.2,8515.0,1.2,0.013918200966653721,0.0034053193851771705,0.0,0.00472617982611191,0.0,0.0011723329425556799,0.0,0.00228650085754236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8514.9,0.0,0.00232786795526656,0.0,0.0
1100080.0,723878.33,15260.75,892.0,4,0,0.0,2,362638.32999999996,0,0.0,0,0.0,1,120000.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,241240.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,120000.0,0,0.0,2,362638.32999999996,0,0.0,1,120000.0,0,0.0,0,0.0,0,0.0,4,723878.33,0,0.0,0,0.0,0,0.0,0,0.0,47.433994397392,0.05845060039644185,12722168,0.001199540046947973,2014.5,0.1,0.0,0.7,0.0,0.5,0.1,0.1,0.1,0.6,16143.5,2.2,0.01400440299095215,0.00069662138627655,0.0,0.00427467566139259,0.00356860987526715,0.00069662138627655,0.00060056453065881,0.0035667456204216104,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0005747126436781599,0.0,0.0,0.0005747126436781599,0.0,0.0,0.0,0.0,16143.4,0.0,0.00060056453065881,0.0,0.0
1100098.0,3521102.0,27850.2,4084.0,10,1,102457.47,10,3521102.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,223105.71,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,7,2618263.67,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,10,3521102.0,0,0.0,0,0.0,0,0.0,0,0.0,126.43004359035123,0.1466416758227948,4518055,0.0061642011883432145,2014.5,0.2,0.4,1.9,0.0,0.4,0.1,0.3,0.0,0.7,31317.5,4.0,0.01266873267304415,0.0006546365018841301,0.0012261931893619,0.00601072085766261,0.0012388403607984,0.00095739157303157,0.0,0.00223567016820753,3.5,0.0,0.7,0.0,0.0,0.0,0.0,0.0,11.5,15.7,0.0497764368556502,0.01095070604712637,0.0,0.00228186928687162,0.0,0.0,0.0,0.03654386152165215,31317.4,0.0,0.00034528002209792,0.0,0.0
1100106.0,8689687.77,36407.75,10697.0,8,0,0.0,7,8433687.77,0,0.0,1,256000.0,0,0.0,0,0.0,0,0.0,2,300539.99,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,103856.0,0,0.0,0,0.0,0,0.0,0,0.0,4,1051139.77,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,8,8689687.77,0,0.0,0,0.0,0,0.0,0,0.0,238.67686879853875,0.2938110704451662,24855652,0.001464767450075339,2014.5,0.6,0.6,2.2,0.0,1.3,0.2,0.1,0.0,0.8,45084.4,5.8,0.01305769386017044,0.00138782543023011,0.0013448858916399501,0.0049666333358987,0.00291724561312334,0.00023695559452157998,0.0,0.0017496415227261902,0.0,0.5,1.2,0.0,1.2,6.2,0.0,0.0,0.2,9.3,0.0214517420131455,0.0,0.00114090082418029,0.0026468655799975595,0.00282789573756478,0.0,0.0,0.00043684336980974995,45084.3,0.0,0.00045450647203048,0.0,0.014399236501593072
