total_feridos,Parameter,Std. Err.,T-stat,P-value,Lower CI,Upper CI
const,41.074,2.6523,15.486,0.0000,35.875,46.273
aux_emp_ponte_vlr_investimento,2.569e-06,4.517e-07,5.6880,0.0000,1.684e-06,3.455e-06
aux_emp_asfalto_vlr_investimento,-1.286e-07,1.132e-06,-0.1137,0.9095,-2.347e-06,2.09e-06
aux_emp_vlt_vlr_investimento,6.493e-07,7.773e-08,8.3533,0.0000,4.969e-07,8.016e-07
aux_emp_calcamento_vlr_investimento,-3.293e-06,4.688e-06,-0.7024,0.4824,-1.248e-05,5.897e-06
aux_emp_calcadas_vlr_investimento,-6.138e-07,1.471e-07,-4.1726,0.0000,-9.022e-07,-3.255e-07
aux_emp_praca_vlr_investimento,-1.902e-07,1.067e-06,-0.1782,0.8585,-2.282e-06,1.902e-06
aux_emp_refrota_vlr_investimento,8.249e-07,1.057e-06,0.7801,0.4353,-1.248e-06,2.897e-06
aux_emp_pavimentacao_vlr_investimento,1.656e-06,1.695e-07,9.7702,0.0000,1.324e-06,1.988e-06
aux_emp_metro_vlr_investimento,-2.671e-08,1.641e-08,-1.6273,0.1037,-5.887e-08,5.462e-09
aux_emp_aeroporto_vlr_investimento,4.139e-07,6.733e-08,6.1472,0.0000,2.819e-07,5.459e-07
aux_emp_terminal_vlr_investimento,1.857e-06,2.498e-07,7.4318,0.0000,1.367e-06,2.347e-06
aux_emp_revitalizacao_vlr_investimento,1.44e-05,1.47e-06,9.7991,0.0000,1.152e-05,1.728e-05
vlr_investimento_per_capita,-0.1249,0.0135,-9.2316,0.0000,-0.1515,-0.0984
aux_emp_sinalizacao_vlr_investimento,1.979e-06,7.004e-07,2.8248,0.0047,6.057e-07,3.352e-06
aux_emp_corredor_vlr_investimento,1.098e-07,8.309e-08,1.3217,0.1863,-5.305e-08,2.727e-07
aux_emp_parque_vlr_investimento,6.846e-06,5.06e-06,1.3529,0.1761,-3.072e-06,1.676e-05
aux_emp_ferrovia_vlr_investimento,6.628e-07,3.044e-08,21.774,0.0000,6.031e-07,7.225e-07
aux_emp_sarjeta_vlr_investimento, 7.2e-06,2.965e-06,2.4282,0.0152,1.388e-06,1.301e-05
aux_emp_recapeamento_vlr_investimento,3.116e-06,6.187e-07,5.0364,0.0000,1.903e-06,4.329e-06
aux_emp_ciclovia_vlr_investimento,-1.726e-06,5.596e-07,-3.0849,0.0020,-2.823e-06,-6.294e-07
aux_emp_rapido_vlr_investimento,4.34e-07,6.542e-08,6.6339,0.0000,3.057e-07,5.622e-07
aux_emp_onibus_vlr_investimento,8.013e-08,1.312e-07,0.6107,0.5414,-1.771e-07,3.373e-07
aux_emp_drenagem_vlr_investimento,-2.008e-06,3.243e-07,-6.1927,0.0000,-2.644e-06,-1.373e-06
