total_mortes,Parameter,Std. Err.,T-stat,P-value,Lower CI,Upper CI
const,8.5601,0.2869,29.836,0.0000,7.9978,9.1225
aux_emp_ponte_vlr_investimento,4.748e-07,6.355e-08,7.4715,0.0000,3.502e-07,5.994e-07
aux_emp_asfalto_vlr_investimento,2.945e-07,1.582e-07,1.8610,0.0628,-1.568e-08,6.047e-07
aux_emp_vlt_vlr_investimento,2.114e-08,1.092e-08,1.9357,0.0529,-2.658e-10,4.254e-08
aux_emp_calcamento_vlr_investimento,1.734e-07,6.516e-07,0.2661,0.7902,-1.104e-06,1.451e-06
aux_emp_calcadas_vlr_investimento,5.882e-08,2.069e-08,2.8424,0.0045,1.826e-08,9.939e-08
aux_emp_praca_vlr_investimento,1.761e-07,1.502e-07,1.1726,0.2410,-1.182e-07,4.704e-07
aux_emp_refrota_vlr_investimento,-3.343e-06,1.483e-07,-22.552,0.0000,-3.634e-06,-3.053e-06
aux_emp_pavimentacao_vlr_investimento,4.396e-07,2.381e-08,18.465,0.0000,3.929e-07,4.862e-07
aux_emp_metro_vlr_investimento,-1.105e-08,2.308e-09,-4.7878,0.0000,-1.557e-08,-6.526e-09
aux_emp_aeroporto_vlr_investimento,2.092e-07,9.489e-09,22.052,0.0000,1.906e-07,2.278e-07
aux_emp_terminal_vlr_investimento,6.067e-07,3.505e-08,17.311,0.0000,5.38e-07,6.754e-07
aux_emp_revitalizacao_vlr_investimento,1.395e-07,2.067e-07,0.6750,0.4997,-2.657e-07,5.447e-07
vlr_investimento_per_capita,-0.0175,0.0018,-9.5369,0.0000,-0.0211,-0.0139
aux_emp_sinalizacao_vlr_investimento,1.813e-07,9.83e-08,1.8446,0.0651,-1.135e-08,3.74e-07
aux_emp_corredor_vlr_investimento,3.479e-08,1.165e-08,2.9859,0.0028,1.195e-08,5.763e-08
aux_emp_parque_vlr_investimento,8.843e-07,7.077e-07,1.2495,0.2115,-5.029e-07,2.271e-06
aux_emp_ferrovia_vlr_investimento,1.648e-07,4.269e-09,38.599,0.0000,1.564e-07,1.732e-07
aux_emp_sarjeta_vlr_investimento,1.675e-06,4.064e-07,4.1224,0.0000,8.788e-07,2.472e-06
aux_emp_recapeamento_vlr_investimento,1.116e-07,8.659e-08,1.2886,0.1976,-5.815e-08,2.813e-07
aux_emp_ciclovia_vlr_investimento,-4.824e-07,7.864e-08,-6.1335,0.0000,-6.365e-07,-3.282e-07
aux_emp_rapido_vlr_investimento,1.591e-07,9.196e-09,17.301,0.0000,1.411e-07,1.771e-07
aux_emp_onibus_vlr_investimento,1.532e-07,1.841e-08,8.3200,0.0000,1.171e-07,1.893e-07
aux_emp_drenagem_vlr_investimento,-1.927e-07,4.555e-08,-4.2298,0.0000,-2.82e-07,-1.034e-07
